name,category_list,funding_total_usd,status,country_code,funding_rounds,dias_hasta_inversion
Acceleron Pharma,Biotechnology,113701127.0,ipo,USA,6,944.0
Accentia Biopharmaceuticals Inc,Biotechnology|Health and Wellness,775000.0,ipo,USA,2,3690.0
Accera,Biotechnology,138581610.0,operating,USA,5,1354.0
Access Closure,Health Care,13793098.0,acquired,USA,3,2983.0
Access Integrated Healthcare,Health and Wellness|Health Care|Services,58500000.0,operating,USA,2,205.0
Access MediQuip,Health Care,46900000.0,operating,USA,1,5856.0
Access Psychiatry Solutions,Biotechnology,250000.0,operating,USA,1,139.0
Access Scientific,Health Care,21376001.0,acquired,USA,6,2105.0
Accessbio,Biotechnology,12000000.0,operating,USA,1,
Acclarent,Biotechnology|Medical,35000000.0,acquired,USA,1,1056.0
Acclaris Holdings,Development Platforms|Health Care|Software,5000000.0,acquired,USA,1,-1990.0
Accolade,Health and Wellness|Health Care|Healthcare Services,96244444.0,operating,USA,6,31.0
Accord Biomaterials,Biotechnology,1200000.0,operating,USA,1,1024.0
Accountable,B2B|Cloud Computing|Enterprises|Health and Wellness|Health Care|Network Security|SaaS,158000.0,operating,USA,2,153.0
Accriva Diagnostics,Medical Devices,15470704.0,operating,USA,2,304.0
Accu-Break Pharmaceuticals,Biotechnology,6650000.0,operating,USA,2,2342.0
Accudial Pharmaceutical,Biotechnology,12024769.0,operating,USA,3,146.0
AccuMED Technologies,Medical,0.0,operating,USA,1,7601.0
Accumen,Health Care|Hospitals,6700000.0,operating,USA,1,0.0
Accumetrics,Biotechnology,110640466.0,acquired,USA,9,2692.0
AccuNostics,Health Care|Health Diagnostics,6321095.0,operating,GBR,1,1353.0
Accupal,Medical,0.0,operating,USA,1,275.0
Accuri Cytometers,Biotechnology,32655000.0,operating,USA,8,
ACE,Biotechnology|Medical,1245092.0,operating,USA,3,1597.0
ACE Health,Health and Wellness|Health Care|Health Care Information Technology|mHealth|Predictive Analytics,145562.0,operating,IRL,2,1155.0
ACEA BIO,Biotechnology,30000000.0,operating,USA,1,5060.0
AcelRx Pharmaceuticals,Biotechnology|Health Care,93654902.0,ipo,USA,5,
Acera Surgical,Health Care,600000.0,operating,USA,1,219.0
Acesion Pharma,Biotechnology,0.0,operating,DNK,2,727.0
Acesis,Health Care|Physicians|Software,3638201.0,operating,USA,1,1580.0
AcesoBee,Health Care,41250.0,operating,HKG,1,348.0
Acetylon Pharmaceuticals,Biotechnology,151250000.0,operating,USA,6,578.0
Achaogen,Biotechnology|Health Care,116605707.0,ipo,USA,4,213.0
Achelios Therapeutics,Biotechnology,3170442.0,operating,USA,1,
The Activity Exchange (AchieveMint),Health and Wellness|Health Care|mHealth|Mobile,0.0,operating,USA,1,0.0
Achillion Pharmaceuticals,Biotechnology|Health Care,91100000.0,ipo,USA,2,1488.0
Aciex Therapeutics,Biotechnology,9599860.0,acquired,USA,3,
Aclaris Therapeutics,Biotechnology,82000000.0,ipo,USA,3,
Acologix,Biotechnology,40000000.0,operating,USA,1,4507.0
Acorda Therapeutics,Biotechnology|Health Care,76800000.0,ipo,USA,3,
ACS Biomarker,Biotechnology,0.0,operating,NLD,1,
ACS Global,Biotechnology,3162000.0,ipo,USA,2,
ACT Biotech,Biotechnology|Health and Wellness|Medical|Pharmaceuticals,26980000.0,operating,USA,6,126.0
Actimis Pharmaceuticals,Biotechnology,15600000.0,acquired,USA,2,
Actinium Pharmaceuticals,Biotechnology,7000720.0,ipo,USA,2,4324.0
Actinobac Biomed,Biotechnology,600000.0,operating,USA,2,78.0
Activaero,Biotechnology,22585000.0,acquired,DEU,2,2150.0
Activaided Orthotics,Fitness|Medical|Training,25000.0,operating,USA,4,405.0
Activate Healthcare,Health Care,950000.0,operating,USA,3,1100.0
Activation Life,Biotechnology,40000.0,operating,USA,1,1595.0
ActivBiotics,Health Care|Medical|Therapeutics,17000000.0,operating,,1,
Active Implants,Biotechnology,99717506.0,operating,USA,11,205.0
Active Life Scientific,Biotechnology,925000.0,operating,USA,3,1205.0
ActiViews,Health Care,10000000.0,acquired,ISR,2,681.0
Activiomics,Biotechnology|Health Diagnostics,805000.0,acquired,GBR,1,
ActoGeniX,Biotechnology|Clinical Trials|Pharmaceuticals,30204758.8708734,acquired,BEL,2,
Acton Pharmaceuticals,Biotechnology,36700005.0,acquired,USA,4,
ActualMeds,Health Care,550000.0,operating,USA,2,1028.0
ActX,Biotechnology,2670394.0,operating,USA,2,742.0
Acucela,Biotechnology,439603.0,operating,USA,1,2803.0
AcuFocus,Health Care,104000000.0,operating,USA,4,2206.0
Acuitas Medical,Health Care,1067275.0,operating,GBR,2,
Acuity Medical International,Health Care,1500321.0,operating,USA,1,4655.0
Acuity Pharmaceuticals,Health Care|Pharmaceuticals|Technology,15000000.0,acquired,USA,1,
Autism Acumen,Medical|Video,0.0,operating,USA,1,
Acumen Pharmaceuticals,Biotechnology|Health Diagnostics,2200000.0,operating,USA,2,3881.0
Acupera,Health Care,10000000.0,operating,USA,3,0.0
Acura Pharmaceuticals,Biotechnology,10300000.0,ipo,USA,2,
Acurian,Medical|Pharmaceuticals|Service Providers,27000000.0,operating,USA,1,
Acusphere,Biotechnology|Pharmaceuticals,10000000.0,ipo,USA,2,6761.0
Acustream,Health Care,2000000.0,operating,USA,1,2480.0
Acutus Medical,Biotechnology,63176464.0,operating,USA,5,219.0
Acylin Therapeutics,Biotechnology,6400000.0,operating,USA,2,740.0
Adagio Medical,Health Care,6637111.0,operating,USA,2,818.0
AdAlta,Biotechnology,3007428.34801961,operating,AUS,1,357.0
Adamas Pharmaceuticals,Health Care,82000000.0,ipo,USA,4,1947.0
Adamis Pharmaceuticals,Biotechnology,16377078.0,ipo,USA,5,2287.0
Adapta Medical,Health Care,225000.0,operating,USA,2,
Adaptimmune,Biotechnology,107500000.0,ipo,GBR,2,2276.0
Adaptive Biotechnologies,Bio-Pharm|Biotechnology|Health Care,401499480.0,operating,USA,5,1716.0
Adaptive Symbiotic Technologies,Biotechnology,1099000.0,operating,USA,1,
Adartis Animal Health,Biotechnology|Medical,0.0,operating,USA,1,625.0
Adarza BioSystems,Biotechnology|Health Diagnostics,7250000.0,operating,USA,4,1933.0
ADC Therapeutics,Biotechnology,120000000.0,operating,CHE,2,1019.0
AdCare Health Systems,Biotechnology|Health Care,36043700.0,ipo,USA,7,8018.0
Addapp,Fitness|Health and Wellness|Health Care|Personal Health|Software,1800000.0,operating,USA,1,1.0
Addex Therapeutics,Biotechnology,2842048.0,ipo,CHE,1,4815.0
Addiction Campuses of America,Health Care,6800000.0,operating,USA,3,147.0
AddressHealth,Child Care|Health and Wellness|Health Care|Medical,0.0,operating,IND,1,1631.0
Addus HealthCare,Health and Wellness|Health Care,1240000.0,ipo,USA,1,11544.0
Adenios,Biotechnology,810000.0,operating,USA,1,411.0
Adenovir Pharma,Biotechnology,787000.0,operating,SWE,1,
AdhereTech,Health Care|Medical Devices,2350000.0,operating,USA,2,-74.0
